"Player","WS/48","Composite.Rating","Age","Is.Big","Is.Guard"
"Chuck Hayes",0.212,-0.555598345324831,4,1,0
"Jabari Brown",0.033,0.55955534228085,4,0,1
"Bruce Brown",0.048,0.18783744641229,4,0,1
"Terrence Ross",0.034,-0.0723650806957022,3,0,1
"Nolan Smith",-0.029,0.485211763107139,5,0,1
"Andre Iguodala",0.118,0.150665656825434,3,0,1
"Josh Childress",0.093,0.485211763107139,3,0,1
"Maalik Wayns",-0.079,0.299352815172858,3,0,1
"Tony Parker",0.08,0.262181025586002,1,0,1
"Mitch McGary",0.127,0.18783744641229,4,1,0
"Dion Waiters",0.026,0.00197849847800993,3,0,1
"ETwaun Moore",0.031,0.299352815172858,4,0,1
"Trey Thompkins",0.004,0.262181025586002,3,1,0
"AJ Price",0.065,0.262181025586002,5,0,1
"Eric Williams",0.015,-0.18388044945627,8,0,0
"JaJuan Johnson",0.032,0.0391502880648658,4,1,0
"Malik Beasley",0.057,-0.221052239043126,2,0,1
"Lorenzo Brown",-0.068,0.18783744641229,5,0,1
"Doron Lamb",-0.032,0.18783744641229,3,0,1
"Mike Conley",0.038,0.37369639434657,2,0,1
"TJ Warren",0.085,0.150665656825434,3,0,0
"Kendall Marshall",-0.012,0.225009235999146,3,0,1
"DJ Augustin",0.128,0.0763220776517221,3,0,1
"Gabe Pruitt",0.047,-0.0723650806957022,4,0,1
"Kevin Jones",0.032,-0.592770134911686,5,1,0
"Nick Anderson",0.118,0.0391502880648658,13,0,0
"Tyler Herro",0.034,-0.146708659869414,2,0,1
"Daniel Hamilton",-0.024,0.522383552693995,5,0,1
"Rodney Hood",0.098,0.150665656825434,4,0,1
"Alan Anderson",0.037,0.0391502880648658,5,0,0
"Charles OBannon",0.1,-0.18388044945627,5,0,1
"DeMarcus Nelson",-0.071,0.485211763107139,5,0,1
"Derrick Walton",0.128,-0.481254766151118,4,0,1
"Jamil Wilson",0.096,-0.332567607803694,9,0,0
"Marcus Morris",-0.083,-1.15034697871453,4,1,0
"Marcus Williams",-0.004,0.0391502880648658,3,0,1
"Greg Stiemsma",0.17,-0.221052239043126,8,1,0
"JaKarr Sampson",0.025,-0.332567607803694,3,0,0
"Chandler Parsons",0.09,-0.295395818216838,5,0,0
"Amir Coffey",0.005,-0.332567607803694,4,0,1
"Deng Adel",-0.054,-0.109536870282558,3,0,0
"Jawun Evans",-0.011,0.150665656825434,3,0,1
"Daniel Ewing",0.017,0.0763220776517221,4,0,1
"Jackie Butler",0.078,0.0391502880648658,2,1,0
"Ben Gordon",0.084,-0.36973939739055,3,0,1
"Alonzo Gee",0.108,-0.778629082845967,4,0,1
"Henry Sims",0.115,-0.741457293259111,5,1,0
"Kelenna Azubuike",0.083,0.00197849847800993,5,0,1
"Marshall Plumlee",0.048,-1.11317518912767,6,1,0
"Shai GilgeousAlexander",0.074,0.0391502880648658,2,0,1
"Jeff Withey",0.128,0.150665656825434,5,1,0
"Sean Singletary",0.006,-0.555598345324831,5,0,1
"Brandon Roy",0.114,-0.518426555737975,4,0,1
"Zach Collins",0.03,0.113493867238578,2,1,0
"Jerami Grant",0.019,-0.36973939739055,2,0,0
"DeAndre Liggins",0,-0.109536870282558,5,0,0
"Eric Bledsoe",0.008,-0.778629082845967,3,0,1
"Aaron Brooks",0.112,-0.035193291108846,5,0,1
"Kyle Lowry",0.148,0.0763220776517221,2,0,1
"Randy Foye",0.058,-0.927316241193391,5,0,1
"Travis Diener",0.115,-0.332567607803694,5,0,1
"Quinn Cook",0.047,0.00197849847800993,5,0,1
"Tyler Dorsey",0.02,0.299352815172858,3,0,1
"Jordan Mickey",0.036,-0.258224028629982,4,1,0
"Jordan McRae",0.087,-0.332567607803694,6,0,1
"Peyton Siva",-0.032,0.150665656825434,5,0,1
"Darius Miller",0.034,-0.146708659869414,4,0,0
"Maurice Harkless",0.059,-0.258224028629982,1,0,0
"Cole Aldrich",0.066,0.336524604759714,4,1,0
"Ronnie Brewer",0.124,-0.295395818216838,3,0,1
"Malcolm Lee",0.024,0.410868183933426,3,0,1
"Hasheem Thabeet",0.109,-1.22469055788824,4,1,0
"Deonte Burton",0.027,-0.852972662019679,7,0,1
"Kevin Porter Jr",0.011,0.113493867238578,1,0,0
"Chimezie Metu",-0.099,-0.146708659869414,3,1,0
"Semi Ojeleye",0.048,-0.035193291108846,5,1,0
"Willie CauleyStein",0.13,-0.258224028629982,4,1,0
"John Jenkins",0.091,0.0763220776517221,3,0,1
"Miles Plumlee",0.098,-1.85661098086479,7,1,0
"Jarrett Jack",0.035,-0.555598345324831,4,0,1
"Sindarius Thornwell",0.041,-0.109536870282558,5,0,1
"Jordan Adams",0.073,-1.03883160995396,2,0,1
"Otto Porter",-0.006,-0.109536870282558,2,0,0
"Arron Afflalo",0.092,0.18783744641229,4,0,1
